F9-001;1;4 June 2010 18:45;F9  v1.0 B0003;Cape Canaveral , SLC‑40;Dragon Spacecraft Qualification Unit;Unknown;LEO;SpaceX;Success;Failure (parachute);First flight of Falcon 9 v1.0. Used a boilerplate version of Dragon capsule which was not designed to separate from the second stage. ( more details ) Attempted to recover the first stage by parachuting it into the ocean, but it burned up on reentry, before the parachutes even got to deploy.;
F9-002;2;8 December 2010 15:43;F9  v1.0 B0004;Cape Canaveral , SLC‑40;SpaceX COTS Demo Flight 1 (Dragon C101);Unknown;LEO ( ISS );NASA ( COTS );Success;Failure (parachute);Maiden flight of SpaceX's  Dragon capsule , consisting of over 3 hours of testing thruster maneuvering and then reentry. Second flight of Falcon 9 v1.0. Attempted to recover the first stage by parachuting it into the ocean, but it disintegrated upon reentry, again before the parachutes were deployed. ( more details ) It also included eight CubeSats , and a wheel of Brouère cheese. Before the launch, SpaceX discovered that there was a crack in the nozzle of the 2nd stage's Merlin vacuum engine. SpaceX cut off the end of the nozzle and got NASA's approval to fly in this configuration.;
F9-003;3;22 May 2012 07:44;F9 v1.0  B0005;Cape Canaveral , SLC‑40;SpaceX COTS Demo Flight 2 (Dragon C102);525 kg (1,157 lb) (excl. Dragon mass);LEO ( ISS );NASA ( COTS );Success;No attempt;The Dragon spacecraft demonstrated a series of tests before it was allowed to approach the  International Space Station . Two days later, it became the first commercial spacecraft to board the ISS.  ( more details );
F9-004;4;8 October 2012 00:35;F9 v1.0  B0006;Cape Canaveral , SLC‑40;SpaceX CRS-1 (Dragon C103);4,700 kg (10,400 lb) (excl. Dragon mass);LEO ( ISS );NASA ( CRS );Success;No attempt;Orbcomm-OG2;172 kg (379 lb);LEO;Orbcomm;Partial failure;
F9-005;5;1 March 2013 15:10;F9 v1.0  B0007;Cape Canaveral , SLC‑40;SpaceX CRS-2 (Dragon C104);4,877 kg (10,752 lb) (excl. Dragon mass);LEO ( ISS );NASA ( CRS );Success;No attempt;Last launch of the original Falcon 9 v1.0  launch vehicle , first use of the unpressurized trunk section of Dragon.;
F9-006;6;29 September 2013 16:00;F9 v1.1  B1003;Vandenberg , SLC‑4E;CASSIOPE;500 kg (1,100 lb);Polar orbit  LEO;MDA;Success;Failure (ocean);First commercial mission with a private customer, first launch from Vandenberg, and demonstration flight of Falcon 9 v1.1 with an improved 13-tonne to LEO capacity. After separation from the second stage carrying Canadian commercial and scientific satellites, the first stage booster performed a controlled reentry, and an ocean touchdown test for the first time. This provided good test data, even though the booster started rolling as it neared the ocean, leading to the shutdown of the central engine as the roll depleted it of fuel, resulting in a hard impact with the ocean. This was the first known attempt of a rocket engine being lit to perform a supersonic retro propulsion, and allowed SpaceX to enter a public-private partnership with NASA and its Mars entry, descent, and landing technologies research projects.  ( more details ) This was also the first orbital launch using SpaceX's upgraded Merlin 1D rocket engine.;
F9-007;7;3 December 2013 22:41;F9 v1.1  B1004;Cape Canaveral , SLC‑40;SES-8;3,170 kg (6,990 lb);GTO;SES;Success;No attempt;First  geostationary transfer orbit (GTO) launch for Falcon 9, and first successful reignition of the second stage. SES-8 was inserted into a supersynchronous transfer orbit of 79,341 km (49,300 mi) in apogee with an inclination of 20.55° to the equator .;
F9-008;8;6 January 2014 22:06;F9 v1.1  B1005;Cape Canaveral , SLC‑40;Thaicom 6;3,325 kg (7,330 lb);GTO;Thaicom;Success;No attempt;The Thai communication satellite was the second  GTO launch for Falcon 9. The USAF evaluated launch data from this flight as part of a separate certification program for SpaceX to qualify to fly military payloads, but found that the launch had "unacceptable fuel reserves at engine cutoff of the stage 2 second burnoff". Thaicom-6 was inserted into a supersynchronous transfer orbit of 90,039 km (55,948 mi) in apogee with an inclination of 22.46° to the equator .;
F9-009;9;18 April 2014 19:25;F9 v1.1  B1006;Cape Canaveral , SLC‑40;SpaceX CRS-3 (Dragon C105);2,296 kg (5,062 lb) (excl. Dragon mass);LEO ( ISS );NASA ( CRS );Success;Controlled (ocean);Following second-stage separation, SpaceX conducted a second  controlled-descent test of the discarded booster vehicle and achieved the first successful controlled ocean touchdown of a liquid-rocket-engine orbital booster. Following the soft touchdown, the first stage tipped over as expected and was destroyed. This was the first Falcon 9 booster to fly with extensible landing legs and the first Dragon mission with the Falcon 9 v1.1 launch vehicle. This flight also launched the ELaNa 5 mission for NASA as a secondary payload.;
F9-010;10;14 July 2014 15:15;F9 v1.1  B1007;Cape Canaveral , SLC‑40;Orbcomm-OG2 -1 (6 satellites);1,316 kg (2,901 lb);LEO;Orbcomm;Success;Controlled (ocean);Payload included six satellites weighing 172 kg (379 lb) each and two 142 kg (313 lb) mass simulators. Equipped for the second time with landing legs , the first-stage booster successfully conducted a controlled-descent test consisting of a burn for deceleration from hypersonic velocity in the upper atmosphere, a reentry burn, and a final landing burn before soft-landing on the ocean surface.;
